Composer,Title
L. v. Beethoven ,"Symphony ""Ode to Joy"" "
G. Bizet ,"Carmen ""Toreador Song""  "
J. Brahms ,Hungarian Dances No.5
F. F. Chopin,Minute Waltz
A. Dvorak ,"Symphony No.9 ""New World"""
S. E. W. Elgar ,Pomp and Circumstance Marches  
E. H. Grieg ,In the Hall of the Mountain King  
G. F. Handel ,"Messiah ""Hallelujah"" "
G. Holst ,"Planets ""Mercury""  "
F. Mendelssohn,Wedding March
W. A. Mozart ,Eine Kline Nachtmusik 
W. A. Mozart ,"Piano Sonata No.11-3 ""Turkish March"""
H. Necke ,Csikos Post 
J. Offenbach ,Orpheus in the Underworld 
J. Pachelbel ,Canon 
S. S. Prokofiev ,"Romeo and Juliet ""Montagues and Capulets"" "
G. A. Rossini ,William Tell Overture  
E. A. L. Satie ,Gymnopedie No.1
E. A. L. Satie ,Je te veux  
J. Strauss ,Voices of Spring Waltz  
P. I. Tchaikovsky ,"Swan Lake ""Scene""  "
P. I. Tchaikovsky ,"The Nutcracker ""March"""
P. I. Tchaikovsky ,"The Nutcracker ""Waltz of the Flowers"""
I. Albeniz ,Piano Sonata Op.82
L. v. Beethoven ,Piano Sonata Op.14-1
A. Diabelli ,Sonatina Op.151-2
A. Dvorak ,Waltz 
A. Dvorak ,"Serenade for Strings Op. 22-3 ""Scherzo"""
A. Dvorak ,"Serenade for Strings Op. 22-5 ""Finale"""
G. U. Faure ,"Dolly Suite Op. 56 ""Kitty-valse"""
E. H. Grieg ,"Lyric Pieces Op.47-6 ""Spring dance"""
F. J. Haydn ,Piano Sonata No.12
F. J. Haydn ,Piano Sonata No.28
F. J. Haydn ,Piano Sonata No.33
F. Kuhlau ,Sonatina Op.55-1
T. Leschetizky ,Humoresque 
F. Mendelssohn,Songs Without Words Op.19-1
W. A. Mozart ,Piano Sonata KV309
S. S. Prokofiev ,10 Pieces Op.12-2 Gavotte
S. S. Prokofiev ,10 Pieces Op.12-3 Rigaudon
F. P. Schubert ,Piano Sonata No.4 Scherzo
F. P. Schubert ,Piano Sonata No.6-3
F. P. Schubert ,String Quartet No.2
F. P. Schubert ,String Quartet No.3
W. R. Wagner ,Piano Sonata Op. 1
